Law ID,State,State Postal Abbreviation,Type of Law,Effect,Type of Change,Effective Date,Effective Date Note,Effective Date Month,Effective Date Day,Effective Date Year,Statutory Citation,Content,Controlling Law at Beginning of Period (1979),Age for Minimum Age Laws,"Length of Waiting Period (days, handguns)",Additional Context and Notes,Caveats and Ambiguities,Confirmation Code
NY1025,New York,NY,Registration - long guns,,,,,,,,,No law requiring registration of long guns,1,,,,,
NC1001,North Carolina,NC,Background checks for permits to purchase - handguns,Restrictive,Implement,12/1/1995,,12,1,1995,N.C. Gen. Stat. § 14-404,"
(a) Upon application, and such application must be provided by the sheriff electronically, the sheriff shall issue the permit to a resident of that county, unless the purpose of the permit is for collecting, in which case a sheriff can issue a permit to a nonresident, when the sheriff has done all of the following:
(1) Verified, before the issuance of a permit, by a criminal history background investigation that it is not a violation of State or federal law for the applicant to purchase, transfer, receive, or possess a handgun. The sheriff shall determine the criminal and background history of any applicant by accessing computerized criminal history records as maintained by the State Bureau of Investigation and the Federal Bureau of Investigation, by conducting a national criminal history records check, by conducting a check through the National Instant Criminal Background Check System
(NICS), and by conducting a criminal history check through the Administrative Office of the Courts.
(2) Fully satisfied himself or herself by affidavits, oral evidence, or otherwise, as to the good moral character of the applicant. For purposes of determining an applicant's good moral character to receive a permit, the sheriff shall only consider an applicant's conduct and criminal history for the five-year period immediately preceding the date of the application.
(3) Fully satisfied himself or herself that the applicant desires the possession of the weapon mentioned for (i) the protection of the home, business, person, family or property, (ii) target shooting, (iii) collecting, or (iv) hunting.",,,,,,
NC1002,North Carolina,NC,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
NC1003,North Carolina,NC,Background checks for sales from dealers - handguns,Restrictive,Implement,12/1/1995,,12,1,1995,N.C. Gen. Stat. § 14-404(a),"(a) Upon application, and such application must be provided by the sheriff electronically, the sheriff shall issue the permit to a resident of that county, unless the purpose of the permit is for collecting, in which case a sheriff can issue a permit to a nonresident, when the sheriff has done all of the following:
   (1) Verified, before the issuance of a permit, by a criminal history background investigation that it is not a violation of State or federal law for the applicant to purchase, transfer, receive, or possess a handgun. The sheriff shall determine the criminal and background history of any applicant by accessing computerized criminal history records as maintained by the State Bureau of Investigation and the Federal Bureau of Investigation, by conducting a national criminal history records check, by conducting a check through the National Instant Criminal Background Check System (NICS), and by conducting a criminal history check through the Administrative Office of the Courts.
   (2) Fully satisfied himself or herself by affidavits, oral evidence, or otherwise, as to the good moral character of the applicant. For purposes of determining an applicant's good moral character to receive a permit, the sheriff shall only consider an applicant's conduct and criminal history for the five-year period immediately preceding the date of the application.
   (3) Fully satisfied himself or herself that the applicant desires the possession of the weapon mentioned for (i) the protection of the home, business, person, family or property, (ii) target shooting, (iii) collecting, or (iv) hunting.",,,,,,
NC1004,North Carolina,NC,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
NC1005,North Carolina,NC,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1917,"Not sure about day + month, so using January 1.",1,1,1917,N.C. Gen. Stat. § 14-269,"(a) It shall be unlawful for any person, except when on his own premises, willfully and intentionally to carry concealed about his person any bowie knife, dirk, dagger, slung shot, loaded cane, metallic knuckles, razor, shurikin, stun gun, pistol, gun or other deadly weapon of like kind. This section does not apply to an ordinary pocket knife carried in a closed position. As used in this section, ""ordinary pocket knife"" means a small knife, designed for carrying in a pocket or purse, which has its cutting edge and point entirely enclosed by its handle, and that may not be opened by a throwing, explosive or spring action.
(b) This prohibition shall not apply to the following persons:
   (1) Officers and enlisted personnel of the armed forces of the United States when in discharge of their official duties as such and acting under orders requiring them to carry arms and weapons;
   (2) Civil officers of the United States while in the discharge of their official duties;
   (3) Officers and soldiers of the militia and the national guard when called into actual service;
   (4) Officers of the State, or of any county, city, or town, charged with the execution of the laws of the State, when acting in the discharge of their official duties;
   (5) Full-time sworn law-enforcement officers, when off-duty, in the jurisdiction where they are assigned, if:
      a. Written regulations authorizing the carrying of concealed weapons have been filed with the clerk of superior court in the county where the law-enforcement unit is located by the sheriff or chief of police or other superior officer in charge; and
      b. Such regulations specifically prohibit the carrying of concealed weapons while the officer is consuming or under the influence of alcoholic beverages.",1,,,,,
NC1006,North Carolina,NC,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,7/10/1995,,7,10,1995,N.C. Gen. Stat. § 14-415.10 et seq,"§ 14-415.12. Criteria to qualify for the issuance of a permit 
   (a) The sheriff shall issue a permit to an applicant if the applicant qualifies under the following criteria:
   (1) The applicant is a citizen of the United States or has been lawfully admitted for permanent residence as defined in 8 U.S.C. § 1101(a)(20), and has been a resident of the State 30 days or longer immediately preceding the filing of the application.
   (2) The applicant is 21 years of age or older.
   (3) The applicant does not suffer from a physical or mental infirmity that prevents the safe handling of a handgun.
   (4) The applicant has successfully completed an approved firearms safety and training course which involves the actual firing of handguns and instruction in the laws of this State governing the carrying of a concealed handgun and the use of deadly force. The North Carolina Criminal Justice Education and Training Standards Commission shall prepare and publish general guidelines for courses and qualifications of instructors which would satisfy the requirements of this subdivision. An approved course shall be any course which satisfies the requirements of this subdivision and is certified or sponsored by:
      a. The North Carolina Criminal Justice Education and Training Standards Commission,
      b. The National Rifle Association, or
      c. A law enforcement agency, college, private or public institution or organization, or firearms training school, taught by instructors certified by the North Carolina Criminal Justice Education and Training Standards Commission or the National Rifle Association.
Every instructor of an approved course shall file a copy of the firearms course description, outline, and proof of certification annually, or upon modification of the course if more frequently, with the North Carolina Criminal Justice Education and Training Standards Commission.
   (5) The applicant is not disqualified under subsection (b) of this section.",,,,,,
NC1007,North Carolina,NC,Castle Doctrine,,,,,,,,,Common Law Castle Doctrine,1,,,,,
NC1008,North Carolina,NC,Castle Doctrine - Stand Your Ground,Permissive,Implement,12/1/2011,,12,1,2011,N.C. Gen. Stat. Ann. § 14-51.3,"A person is justified in using force, except deadly force, against another when and to the extent that the person reasonably believes that the conduct is necessary to defend himself or herself or another against the other's imminent use of unlawful force. However, a person is justified in the use of deadly force and does not have a duty to retreat in any place he or she has the lawful right to be if either of the following applies: (1) He or she reasonably believes that such force is necessary to prevent imminent death or great bodily harm to himself or herself or another. (2) Under the circumstances permitted pursuant to G.S. 14-51.2.",,,,,,
NC1009,North Carolina,NC,Child access law,,,,,,,,,No CAP law,1,,,,,
NC1010,North Carolina,NC,Child access laws - negligent storage (CAP),Restrictive,Implement,12/1/1993,,12,1,1993,N.C. Gen. Stat. § 14-315.1 (1993),"(a) Any person who resides in the same premises as a minor, owns or possesses a firearm, and stores or leaves the firearm (i) in a condition that the firearm can be discharged and (ii) in a manner that the person knew or should have known that an unsupervised minor would be able to gain access to the firearm, is guilty of a misdemeanor if a minor gains access to the firearm without the lawful permission of the minor's parents or a person having charge of the minor and the minor:
   (1) Possesses it in violation of G.S. 14-269.2(b);

   (2) Exhibits it in a public place in a careless, angry, or threatening manner;

   (3) Causes personal injury or death with it not in self defense; or

   (4) Uses it in the commission of a crime.

(b) Nothing in this section shall prohibit a person from carrying a firearm on his or her body, or placed in such close proximity that it can be used as easily and quickly as if carried on the body.

(c) This section shall not apply if the minor obtained the firearm as a result of an unlawful entry by any person.

(d) ""Minor"" as used in this section means a person under 18 years of age who is not emancipated.
",,,,,,
NC1011,North Carolina,NC,Dealer license - handguns and long guns,Restrictive,Implement,3/24/1939,,3,24,1939,N.C. Gen. Stat. Ann. § 105-80,"Every person, firm, or corporation who is engaged in the business of keeping in stock, selling, and/or offering for sale any of the articles or commodities enumerated in this section, shall apply for and obtain a State license from the Commissioner of Revenue for the privilege of conducting such business, and shall pay for such license the following tax: For pistols...$  50.00. For bowie knives, dirks, daggers, sling-shots, leaded canes, iron or metallic knuckles, or articles of like kind....200.00, For blank cartridge pistols...200.00. (a) If such person, firm, or corporation deal only in metallic cartridges, the tax shall be ten dollars ($10.00). (b) Counties, cities, or towns may levy a license tax on the business taxed under this section not in excess of that levied by the State.",1,,,,,
NC1012,North Carolina,NC,Dealer license - handguns and long guns,Permissive,Repeal,7/1/1997,,7,1,1997,N.C. Gen. Stat. Ann. § 105-80,"Repealed by Session Laws 1996, Second Extra Session, c. 14, s. 17.
",,,,,,
NC1013,North Carolina,NC,Maximum waiting period (handgun permits),Restrictive,Implement,12/1/1995,,12,1,1995,N.C. Gen. Stat. Ann. §§ 14-404F,"Each applicant for a license or permit shall be informed by the sheriff within 30 days of the date of the application whether the license or permit will be granted or denied and, if granted, the license or permit shall be immediately issued to the applicant.",,,,,,
NC1014,North Carolina,NC,Minimum age for youth possession - handguns,Restrictive,Implement,9/1/1993,,9,1,1993,N.C. Gen. Stat. § 14-269.7,"(a) Any minor who willfully and intentionally possesses or carries a handgun is guilty of a Class 1 misdemeanor.
(b) This section does not apply:
(1) To officers and enlisted personnel of the Armed Forces of the United States when in discharge of their official
duties or acting under orders requiring them to carry handguns.
(2) To a minor who possesses a handgun for educational or recreational purposes while the minor is supervised
by an adult who is present.
(3) To an emancipated minor who possesses such handgun inside his or her residence.
(4) To a minor who possesses a handgun while hunting or trapping outside the limits of an incorporated
municipality if he has on his person written permission from a parent, guardian, or other person standing in loco
parentis.
(c) The following definitions apply in this section:
(1) Handgun. -- A firearm that has a short stock and is designed to be fired by the use of a single hand, or any
combination of parts from which such a firearm can be assembled.
(2) Minor. -- Any person under 18 years of age.",,18,,,,
NC1015,North Carolina,NC,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
NC1016,North Carolina,NC,Minimum purchase and sale age - handguns,Restrictive,Implement,,,4,6,1893,N.C. Gen. Stat. § 14-315(a1),"(a1) Sale of Handguns. --  If a person sells, offers for sale, gives, or in any way transfers to a minor any handgun as defined in G.S. 14-269.7, the person is guilty of a Class H felony and, in addition, shall forfeit the proceeds of any sale made in violation of this section. This section does not apply in any of the following circumstances:
   (1) The handgun is lent to a minor for temporary use if the minor's possession of the handgun is lawful under G.S. 14-269.7 and G.S. 14-316 and is not otherwise unlawful.
   (2) The handgun is transferred to an adult custodian pursuant to Chapter 33A of the General Statutes, and the minor does not take possession of the handgun except that the adult custodian may allow the minor temporary possession of the handgun in circumstances in which the minor's possession of the handgun is lawful under G.S. 14-269.7 and G.S. 14-316 and is not otherwise unlawful.
   (3) The handgun is a devise and is distributed to a parent or guardian under G.S. 28A-22-7, and the minor does not take possession of the handgun except that the parent or guardian may allow the minor temporary possession of the handgun in circumstances in which the minor's possession of the handgun is lawful under G.S. 14-269.7 and G.S. 14-316 and is not otherwise unlawful.",1,18,,,,D
NC1017,North Carolina,NC,Minimum purchase and sale age - long guns,,,,,,,,,No law imposing minimum purchase and sale age for long guns,1,,,,,H
NC1018,North Carolina,NC,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
NC1019,North Carolina,NC,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
NC1020,North Carolina,NC,Permit to Purchase - handguns,Restrictive,Implement,4/1/1919,,4,1,1919,N.C. Gen. Stat. § 14-402(a),"(a) It is unlawful for any person, firm, or corporation in this State to sell, give away, or transfer, or to purchase or receive, at any place within this State from any other place within or without the State any pistol unless: (i) a license or permit is first obtained under this Article by the purchaser or receiver from the sheriff of the county in which the purchaser or receiver resides; or (ii) a valid North Carolina concealed handgun permit is held under Article 54B of this Chapter by the purchaser or receiver who must be a resident of the State at the time of the purchase.",,,,"See Laws 1919, Ch. 197 § 1 for original version of law.",,
NC1021,North Carolina,NC,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
ND1001,North Dakota,ND,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
ND1002,North Dakota,ND,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
ND1003,North Dakota,ND,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1945,see caveats and ambiguities about this date,1,1,1945,N.D. Code Sec. 62-0301 (1943),"62-0301. Carrying Concealed Weapons or Firearms Prohibited. No person,
other than a police officer, shall carry concealed about his person any of the following weapons or firearms unless they are carried in the prosecution of or
to effect a lawful and legitimate purpose:
1. Any instrument or weapon of the kind usually known as a blackjack,
slung shot, billy, sandclub, sandbag, bludgeon, metal knuckles, or any
sharp or dangerous weapon usually employed in the attack or defense of a person;
2. Any gun or dangerous firearm whether the same is loaded or unloaded. ... 62-0304. Possession Presumptive Evidence of Intent to Use Weapon for
Unlawful Purpose. The fact that any instrument, weapon, or explosive is carried concealed shall be evidence that the person so carrying the same intended to use the same for an unlawful purpose.",1,,,,Unclear what year this law was first implemented.,
ND1004,North Dakota,ND,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,4/15/1985,,4,15,1985,N.D. Cent. Code § 62.1-04-01 et seq.,"62.1-04-03.  License to carry a firearm or dangerous weapon concealed -- Class 1 firearm license and class 2 firearm and dangerous weapon license.
1. The director of the bureau of criminal investigation shall issue a license to carry a firearm or dangerous weapon concealed upon review of an application submitted to the director if the following criteria are met:
     a. The applicant is at least twenty-one years of age for a class 1 firearm license or at least eighteen years of age for a class 2 firearm and dangerous weapon license;
     b. The applicant can demonstrate that the applicant is a resident of this state by providing a copy of a valid driver's license or state-issued identification card from this state that establishes personal identification through photographic means and shows the applicant's name associated with a valid residential street address in this state or the applicant possesses a valid driver's license from the applicant's state of residence that establishes personal identification through photographic means and shows the applicant's name associated with a valid residential street address and a valid concealed weapons license from the applicant's state of residence, which state has reciprocity with this state under section 62.1-04-03.1;
     c. The applicant is not an individual specified in section 62.1-02-01 and for a class 1 firearm license the applicant:
         (1) Has not been convicted of a felony;
         (2) Has not been convicted of a crime of violence;
         (3) Has not been convicted of an offense involving the use of alcohol within ten years prior to the date of application;
         (4) Has not been convicted of a misdemeanor offense involving the unlawful use of narcotics or other controlled substances within ten years prior to the date of application;
         (5) Has not been convicted of an offense involving moral turpitude;
         (6) Has not been convicted of an offense involving domestic violence;
         (7) Has not been adjudicated by a state or federal court as mentally incompetent, unless the adjudication has been withdrawn or reversed; and
         (8) Is qualified to purchase and possess a firearm under federal law;
     d. The applicant has successfully completed the testing procedure conducted by a certified test administrator. The person conducting the testing may assess a charge of up to fifty dollars for conducting this testing. The attorney general may certify a test administrator based upon criteria and guidelines prescribed by the director of the bureau of criminal investigation;
     e. The applicant satisfactorily completes the bureau of criminal investigation application form and has successfully passed the criminal history records check conducted by the bureau of criminal investigation and the federal bureau of investigation. The applicant shall provide all documentation relating to any court-ordered treatment or commitment for mental health or alcohol or substance abuse. The applicant shall provide the director of the bureau of criminal investigation written authorizations for disclosure of the applicant's mental health and alcohol or substance abuse evaluation and treatment records. The bureau may deny approval for a license if the bureau has reasonable cause to believe that the applicant or licenseholder has been or is a danger to self or others as demonstrated by evidence, including past pattern of behavior involving unlawful violence or threats of unlawful violence; past participation in incidents involving unlawful violence or threats of unlawful violence; or conviction of a weapons offense. In determining whether the applicant or licenseholder has been or is a danger to self or others, the bureau may inspect expunged records of arrests and convictions of adults and juvenile court records; and
     f. The applicant is not prohibited under federal law from owning, possessing, or having a firearm under that individual's control.
2. The attorney general shall offer class 1 firearm and class 2 firearm and dangerous weapon licenses to carry a firearm or dangerous weapon concealed under the following requirements:
     a. An applicant for a class 1 firearm license shall successfully participate in a classroom instruction that sets forth weapon safety rules and the deadly force law of North Dakota, complete an open book test based upon a manual, demonstrate familiarity with a firearm, and complete an actual shooting or certified proficiency exercise. Evidence of familiarity with a firearm to be concealed may be satisfied by one of the following:
         (1) Certification of familiarity with a firearm by an individual who has been certified by the attorney general, which may include a law enforcement officer, military or civilian firearms instructor, or hunter safety instructor;
         (2) Evidence of equivalent experience with a firearm through participation in an organized shooting competition, law enforcement, or military service;
         (3) Possession of a license from another state to carry a firearm, concealed or otherwise, which is granted by that state upon completion of a course described in paragraphs 1 and 2; or
         (4) Evidence that the applicant, during military service, was found to be qualified to operate a firearm.
     b. An applicant for a class 2 firearm and dangerous weapon license is required to successfully complete the open book test offered for the class 1 firearm license.
     c. A North Dakota resident who has a valid class 1 firearm license also may carry a class 2 dangerous weapon without any further testing required. Class 1 and class 2 permits are equally valid in this state.
     d. Additional testing is not required to renew a class 2 firearm and dangerous weapon license. A class 1 firearm license may be renewed upon successful completion of the class 1 firearm requirements within thirty days before submission of the application for renewal.",,,,"Lott and Mustard (1997) characterize North Dakota as becoming ""shall issue"" in 1997, but Vernick and Hepburn (2003) use 1985, and we agree.



Lott, J. R., and D. B. Mustard, ‚”Crime, Deterrence, and Right-to-Carry Concealed Handguns,” Journal of Legal Studies, Vol. 26, No. 1, 1997, pp. 1‚“68.",,
ND1005,North Dakota,ND,Castle Doctrine - Expanded,Permissive,Implement,7/1/1975,,7,1,1975,"S.L. 1973, Ch. 116, § 5","No person is required to retreat  from his dwelling, or place of work, unless he was the original aggressor or is assailed by  person who he knows also dwells or works there;",1,,,"In 2007, added vehicle to places where there is no duty to retreat.",,
ND1006,North Dakota,ND,Child access law,,,,,,,,,No CAP law,1,,,,,
ND1007,North Dakota,ND,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
ND1008,North Dakota,ND,Minimum age for youth possession - handguns,Restrictive,Implement,4/15/1985,,4,15,1985,N.D. Cent. Code § 62.1-02-01(d)," d. A person under the age of eighteen years may not possess a handgun except that such a person, while under the direct supervision of an adult, may possess a handgun for the purposes of firearm safety training, target shooting, or hunting.",,18,,,,
ND1009,North Dakota,ND,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
ND1010,North Dakota,ND,Minimum purchase and sale age - handguns,Restrictive,Implement,4/15/1985,,4,15,1985,N.D. Cent. Code § 62.1-03-02,"Any person who sells, barters, hires, lends, or gives any handgun to any minor is guilty of a class A misdemeanor. This section does not prohibit a person from lending or giving a handgun to a minor if the minor will be using the handgun under the direct supervision of an adult and for the purpose of firearm safety training, target shooting, or hunting.",,18,,N.D. Cent. Code §14-10-01 defines minor as under 18.,,
ND1011,North Dakota,ND,Minimum purchase and sale age - handguns and long guns,,,,,,,,,No law imposing minimum purchase and sale age for handguns or long guns,1,,,,,H
ND1012,North Dakota,ND,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
ND1013,North Dakota,ND,Open Carry limited - handguns,Permissive,Implement,8/1/1985,,8,1,1985,N.D. Cent. Code § 62.1-03-01(1),"A handgun may not be carried unless by an individual not otherwise prohibited and if:
a. Between the hours of one hour before sunrise and one hour after sunset, the handgun is unloaded and either in plain view or secured.
b. Between the hours of one hour after sunset and one hour before sunrise, the handgun is unloaded and secured.
2. The restrictions provided in subdivisions a and b of subsection 1 do not apply to:
a. An individual possessing a valid concealed weapons license from this state or who has reciprocity under section 62.1-04-03.1.",,,,,,
ND1014,North Dakota,ND,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
ND1015,North Dakota,ND,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
ND1016,North Dakota,ND,Waiting period - handguns and long guns,,,,,,,,,No law imposing waiting period for purchase of handguns or long guns,1,,,,,G
OH1001,Ohio,OH,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
OH1002,Ohio,OH,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
OH1003,Ohio,OH,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,1/1/1974,,1,1,1974,Ohio Rev. Code § 2923.12(A),"(A) No person shall knowingly carry or have, concealed on his or her person or concealed ready at hand, any deadly
weapon or dangerous ordnance.
(B) This section does not apply to officers, agents, or employees of this or any other state or the United States, or to law enforcement officers, authorized to carry concealed weapons or dangerous ordnance, and acting within the scope of
their duties.",1,,,,,
OH1004,Ohio,OH,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,4/8/2004,,4,8,2004,Ohio Rev. Code § 2923.124 et seq,"§ 2923.125(D) (1) Except as provided in division (D)(3) of this section, within forty-five days after a sheriff's receipt of an
applicant's completed application form for a concealed handgun license under this section, the supporting
documentation, and, if not waived, the license fee, the sheriff shall make available through the law enforcement
automated data system in accordance with division (H) of this section the information described in that division and,
upon making the information available through the system, shall issue to the applicant a concealed handgun license that
shall expire as described in division (D)(2)(a) of this section if all of the following apply: [lists requirements (a) through (s)]",,,,,,
OH1005,Ohio,OH,Castle Doctrine,,,,,,,,,Common Law Castle Doctrine,1,,,,,
OH1006,Ohio,OH,Castle Doctrine - Expanded,Permissive,Implement,9/9/2008,,9,9,2008,Oh. Rev. Code Ann. § 2901.09,"For purposes of any section of the Revised Code that sets forth a criminal offense, a person who lawfully is in that person's residence has no duty to retreat before using force in self-defense, defense of another, or defense of that person's residence, and a person who lawfully is an occupant of that person's vehicle or who lawfully is an occupant in a vehicle owned by an immediate family member of the person has no duty to retreat before using force in self-defense or defense of another.",,,,,,
OH1007,Ohio,OH,Child access law,,,,,,,,,No CAP law,1,,,,,
OH1008,Ohio,OH,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
OH1009,Ohio,OH,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
OH1010,Ohio,OH,Minimum purchase and sale age - handguns,Restrictive,Modify,11/9/1995,,11,9,1995,Ohio Rev. Code § 2923.211,No person under twenty-one years of age shall purchase or attempt to purchase a handgun,,21,,,,
OH1011,Ohio,OH,Minimum purchase and sale age - handguns and long guns,Restrictive,Implement,8/2/1943,,8,2,1943,Ohio Rev. Code Ann. § 2903.06 (1958),"2903.06 (12967). Sale of firearms to minors.
No person shall sell, barter, furnish, or give to a minor
under the age of seventeen years, an air gun, musket,
rifle, shotgun, revolver, pistol, or other firearm, or ammunition
therefor, or, being the owner or having charge
or control thereof, knowingly permit it to be used by a
minor under such age.
Whoever violates this section shall be fined not more
than one hundred dollars or imprisoned not more than
thirty days, or both. This section is not applicable to
a minor under the age of seventeen years who is hunting
in accordance with section 1533.13 of the Revised Code.",,17,,About sales of firearms only.,,
OH1012,Ohio,OH,Minimum purchase and sale age - handguns and long guns,Restrictive,Modify,1/1/1974,,1,1,1974,Ohio Rev. Code Ann. § 2923.21 (1971),"(A) NO PERSON SHALL: (1) SELL ANY FIREARM TO A PERSON UNDER AGE (1) SELL ANY FIREARM TO A PERSON UNDER AGE
EIGHTEEN; (2) SELL ANY HANDGUN TO A PERSON UNDER AGE
TWENTY-ONE;""",1,21,,About sales of firearms only.,,
OH1013,Ohio,OH,Minimum purchase and sale age - handguns and long guns,Restrictive,Modify,1/1/1974,,1,1,1974,Ohio Rev. Code § 2923.211,"Underage purchase of firearm or handgun. ... (B) No person under twenty-one years of age shall purchase or attempt to purchase a handgun, provided that this division does not apply to the purchase or attempted purchase of a handgun by a person eighteen years of age or older and under twenty-one years of age if either of the following apply:

(B)  (1) The person is a law enforcement officer who is properly appointed or employed as a law enforcement officer and has received firearms training approved by the Ohio peace officer training council or equivalent firearms training.

     (2) The person is an active or reserve member of the armed services of the United States or the Ohio national guard, or was honorably discharged from military service in the active or reserve armed services of the United States or the Ohio national guard, and the person has received firearms training from the armed services or the national guard or equivalent firearms training.

",1,21,,About purchases of firearms only.,,
OH1014,Ohio,OH,One gun per month - handguns,,,,,,,,,No law regarding one gun per month,1,,,,,
OH1015,Ohio,OH,Open Carry permitted,,,,,,,,,No law restricting Open Carry,1,,,,,
OH1016,Ohio,OH,Registration - handguns and long guns,,,,,,,,,No law requiring registration of handguns or long guns,1,,,,,
OK1001,Oklahoma,OK,Background Checks for private sales - handguns and long guns,,,,,,,,,No law requiring background checks for private sales of handguns or long guns,1,,,,,
OK1002,Oklahoma,OK,Background checks for sales from dealers - handguns and long guns,,,,,,,,,No law requiring background checks for sales from dealers of handguns or long guns,1,,,,,
OK1003,Oklahoma,OK,Carrying a concealed weapon (CCW) - prohibited,Restrictive,Implement,5/24/1971,,5,24,1971,"Okla. Stat. Ann. tit. 21, § 1272","§ 1272. Carrying weapons--Exceptions
It shall be unlawful for any person to carry upon or about his person, or in his portfolio or purse, any pistol, revolver, dagger, bowie knife, dirk knife, switchblade knife, spring-type knife, sword cane, knife having a blade which opens automatically by hand pressure applied to a button, spring, or other device in the handle of the knife, blackjack, loaded cane, billy, hand chain, metal knuckles, or any other offensive weapon, except as in this article provided. Provided further, that this section shall not prohibit the proper use of guns and knives for hunting, fishing or recreational purposes, nor shall this section be construed to prohibit any use of weapons in a manner otherwise permitted by statute. Any person convicted of violating the foregoing provision shall be guilty of a misdemeanor",1,,,,,
OK1004,Oklahoma,OK,Carrying a concealed weapon (CCW) - shall issue,Permissive,Modify,1/1/1996,,1,1,1996,"Okla. Stat. Ann. tit. 21, § 1290.3","The Oklahoma State Bureau of Investigation is hereby authorized to license an eligible person to carry a concealed or unconcealed handgun as provided by the provisions of the Oklahoma Self-Defense Act.1 The authority of the Bureau shall be limited to the provisions specifically provided in the Oklahoma Self-Defense Act. The Bureau shall promulgate rules, forms and procedures necessary to implement the provisions of the Oklahoma Self-Defense Act.",,,,,,
OK1005,Oklahoma,OK,Castle Doctrine,Permissive,Implement,11/1/1987,,11,1,1987,Okla. Stat. Ann. Tit. 21 § 1289.25 (1987),"Any occupant of a dwelling is justified in using any degree of physical force, including but not limited to deadly force, against another person who has made an unlawful entry into that dwelling, and when the occupant has a reasonable belief that such other person might use any physical force, no matter how slight, against any occupant of the dwelling.",,,,,,
OK1006,Oklahoma,OK,Castle Doctrine,,,,,,,,,Common Law Castle Doctrine,1,,,,,
OK1007,Oklahoma,OK,Castle Doctrine - Stand Your Ground,Permissive,Modify,11/1/2006,,11,1,2006,Okla. Stat. Ann. Tit. 21 § 1289.25(D),"A person who is not engaged in an unlawful activity and who is attacked in any other place where he or she has a right to be has no duty to retreat and has the right to stand his or her ground and meet force with force, including deadly force, if he or she reasonably believes it is necessary to do so to prevent death or great bodily harm to himself or herself or another or to prevent the commission of a forcible felony.",,,,,,
OK1008,Oklahoma,OK,Child access law,,,,,,,,,No CAP law,1,,,,,
OK1009,Oklahoma,OK,"Child access laws - intentional, reckless, or knowing provision",Restrictive,Implement,11/1/2012,,11,1,2012,"Okla. Stat. tit. 21, § 1273(B)","It shall be unlawful for any parent or guardian to intentionally, knowingly, or recklessly permit his or her child to possess any of the arms or weapons designated in Section 1272 of this title, including any rifle or shotgun, if such parent is aware of a substantial risk that the child will use the weapon to commit a criminal offense or if the child has either been adjudicated a delinquent or has been convicted as an adult for any criminal offense.",,,,,,
OK1010,Oklahoma,OK,Dealer license - handguns and long guns,,,,,,,,,No law requiring dealer license for handguns or long guns,1,,,,,
OK1011,Oklahoma,OK,Minimum age for youth possession - handguns and long guns,Restrictive,Implement,7/1/1994,,7,1,1994,"Okla. Stat. Ann. tit. 21, §§ 1272, 1273(c)","C. It shall be unlawful for any child to possess any of the arms or weapons designated in Section 1272 of this title, except firearms used for participation in hunting animals or fowl, hunter safety classes, education and training in the safe use and handling of firearms, target shooting, skeet, trap or other sporting events or competitions. Provided, this section shall not authorize the possession of such weapons by any person who is subject to the provisions of Section 1283 of this title. § 1272(A) It shall be unlawful for any person to carry upon or about his or her person, or in a purse or other container belonging
to the person, any pistol, revolver, shotgun or rifle whether loaded or unloaded ... E. As used in this section, “child” means a person under eighteen (18) years of age.",,18,,,,
OK1012,Oklahoma,OK,Minimum age for youth possession - handguns and long guns,,,,,,,,,No law imposing minimum age for youth possession of handguns or long guns,1,,,,,H
